post_date,transaction_id,tag_no,unit,cost_center,entry_time,exit_time,toll_loc_name_start,entry_plaza,toll_loc_name_end,exit_plaza,toll_class,agency,amount,transactiondesc
2025-10-08,268277040104683,B6010107791,8657,,2025-10-07 20:39:12+00:00,,Sam Houston South Plaza,SHT-SAMS-12,nan,-,,HCTRA,7.0,
2025-10-10,240263563640555,B6010204259,8425,,2025-10-08 06:34:59+00:00,,Shady Grove Road (SHGRD),PGBW-SHGRD-03,nan,-,,NTTA,2.28,
2025-10-11,117060278776600,B5010051658,8504,,2025-10-09 18:00:33+00:00,,Toll Gantry 1 288 ML Brays Bayou NB,288-BRAYS-01,nan,-,,HCTRA,10.2,
2025-10-16,233863063346590,B6010057271,S23022,,2025-10-11 06:50:14+00:00,,Tulsa,TRN-TULSA-06,nan,-,,OTA,5.4,
2025-10-20,928100263884632,U057481-TN,2894,,2025-10-09 18:04:41+00:00,,gpw-obml-50,GPW-OBML,nan,-,,HCTRA,7.2,
2025-10-09,169962504326266,B6010035670,8547,,2025-10-08 11:27:33+00:00,,Wichita I-135/I-235  Haysville-Derby,KTA-KTA040SB,nan,-,,KTA,0.41,
2025-10-12,252382271547197,B5010061410,8531,,2025-10-11 14:23:14+00:00,,Cameron Plaza,H13-CAMRO,nan,-,,HCTRA,6.54,
2025-10-09,205961499155302,B6010035670,8547,,2025-10-08 10:38:22+00:00,,Emporia I-35  Cassoday K-177,KTA-KTA123NB,nan,-,,KTA,4.83,
2025-10-09,257067680071756,B6010204259,8425,,2025-10-08 06:46:44+00:00,,Sandy Lake Main Lane Gantry (MLP9),PGBT-MLP9-12,nan,-,,NTTA,4.84,
2025-11-13,137276305322796,V5307HY-TN,265,,2025-10-14 06:41:03+00:00,,FM 2920,TMB-F2920-48,nan,-,,HCTRA,3.6,
2025-10-16,292716347913902,B6010119901,8329,,2025-10-14 12:12:06+00:00,,A 99,A99,nan,-,,PTC,7.16,
2025-10-14,847272377377530,B5010058944,206,,2025-10-13 23:19:22+00:00,,El Dorado US-77  US-254,KTA-KTA073SB,nan,-,,KTA,0.69,
2025-10-14,294378593473366,B6010107742,8602,,2025-10-13 12:43:03+00:00,,35 - Cermak Mainline (22nd St),35,nan,-,,ILTOLL,8.15,
2025-10-09,208201130422675,B6010204984,8508,,2025-10-08 10:06:30+00:00,,Sam Houston South Plaza,SHT-SAMS-11,nan,-,,HCTRA,7.0,
2025-10-13,199487506662245,B5010022318,255,,2025-10-11 06:39:44+00:00,,Turner Turnpike - KKP ML,TRN-KKPML-03,nan,-,,OTA,5.36,
2025-10-08,266939959775421,B5010058942,259,,2025-10-07 22:26:52+00:00,,Lawrence US-59S  Lecompton K-10,KTA-KTA201WB,nan,-,,KTA,0.69,
2025-10-12,826454318374738,B6010086561,8654,,2025-10-10 14:57:35+00:00,,Sam Houston East Plaza,SHT-SAME-08,nan,-,,HCTRA,7.0,
2025-10-12,491635673793059,B6010108554,S24035,,2025-10-07 22:31:11+00:00,,"Silver Spring, MD 20905, Toll Gantry",I10,nan,-,,MdTA,0.43,
2025-10-16,107505532385041,R721742-TX,8442,,2025-10-14 09:18:12+00:00,,Exit 259 - Unionville-Indian Trail Road,M06,nan,-,,NCTA,0.88,
2025-10-13,327025659324053,B6010035659,8546,,2025-10-10 15:47:57+00:00,,gpw-vrml-51,GPW-VRML,nan,-,,HCTRA,8.8,
2025-10-14,233199920097986,B6010075495,8630,,2025-10-13 07:26:46+00:00,,35 - Cermak Mainline (22nd St),35,nan,-,,ILTOLL,8.15,
2025-10-10,163773297322216,B6010035637,8349,,2025-10-09 00:05:56+00:00,,gpw-cmbml-21,GPW-CMBML,nan,-,,HCTRA,6.84,
2025-10-15,236868224210300,B6010174721,77,,2025-10-14 04:15:13+00:00,,0X - Golden Glades Plaza,006300,nan,-,,FDOT,4.64,
2025-10-14,356603262457596,B5010058942,259,,2025-10-13 22:19:12+00:00,,East Topeka: I-70,KTA-KTA183WB,nan,-,,KTA,0.28,
2025-10-15,123340293777102,B5010058942,259,,2025-10-14 05:00:55+00:00,,Lawrence US-59S  Lecompton K-10,KTA-KTA201WB,nan,-,,KTA,0.69,
2025-10-16,178703006598616,B6010057271,S23022,,2025-10-14 09:06:09+00:00,,I-35,JKT-I35-04,nan,-,,OTA,0.66,
2025-10-10,192395945958552,B6010039104,8332,,2025-10-09 09:51:26+00:00,,130-dkcrp-06 307,H13-DECKC,nan,-,,HCTRA,6.54,
2025-10-09,977231947277341,B6010057263,S23027,,2025-10-08 14:13:39+00:00,,Wichita US-54  K-15,KTA-KTA047NB,nan,-,,KTA,0.24,
2025-10-16,152005897537298,B6010075145,8633,,2025-10-14 07:44:07+00:00,,67 - Irwin,IRW,nan,-,,PTC,6.6,
2025-10-15,241186648149609,B6010039141,8312,,2025-10-14 11:21:41+00:00,,El Dorado US-77  Andover 21st,KTA-KTA061SB,nan,-,,KTA,1.93,
2025-10-13,188039919026175,B6010219254,9118,,2025-10-11 19:10:07+00:00,,Carlisle,CAR,nan,-,,PTC,77.16,
2025-10-12,209352830111481,B6010107807,8659,,2025-10-11 12:55:57+00:00,,41 - 163rd St Mainline,41,nan,-,,ILTOLL,8.15,
2025-10-13,151998669526199,B6010119922,8348,,2025-10-11 07:45:55+00:00,,13c-blusb-01,13C-BLUNB,nan,-,,HCTRA,27.81,
2025-10-15,152044218002940,B6010119955,8347,,2025-10-14 14:46:10+00:00,,Wichita I-135/I-235  Haysville-Derby,KTA-KTA040SB,nan,-,,KTA,0.41,
2025-10-16,135568679795748,B6010119901,8329,,2025-10-14 12:02:03+00:00,,A 88,A88,nan,-,,PTC,6.6,
2025-10-15,264733710563032,B6010174721,77,,2025-10-14 15:16:10+00:00,,32 - Okeechobee Plaza,033,nan,-,,FDOT,4.64,
2025-10-15,611679707366755,B6010075122,8612,,2025-10-14 12:30:26+00:00,,gpw-nwml-90,GPW-NWML,nan,-,,HCTRA,5.2,
2025-10-15,888645644573530,B5010065476,S23032,,2025-10-14 08:50:13+00:00,,Exit 255 - U.S. 74 (West),M02,nan,-,,NCTA,0.3,
2025-10-14,130465990330879,B6010174780,S17033,,2025-10-13 22:31:26+00:00,,Sam Houston North Plaza,SHT-SAMN-10,nan,-,,HCTRA,1.35,
2025-10-15,155247125868857,B6010119951,8311,,2025-10-14 14:58:49+00:00,,Andover 21st  Wichita K-96,KTA-KTA056SB,nan,-,,KTA,0.55,
2025-10-12,313583909940040,B6010065788,8115,,2025-10-11 14:20:03+00:00,,151sb,KTA-KTA151SB-03,nan,-,,KTA,4.14,
2025-10-16,260768185995608,B6010075145,8633,,2025-10-14 12:50:16+00:00,,T 313,T313,nan,-,,PTC,6.6,
2025-10-11,121749500986605,B6010034703,8532,,2025-10-10 13:41:15+00:00,,Airport Plaza,H13-APORT,nan,-,,HCTRA,6.54,
